date,age_range,sex,cases_confirmed,hospitalized,icu,deceases
2020-04-10,0-9,men,145,52,5,0
2020-04-10,10-19,men,289,57,4,0
2020-04-10,20-29,men,1939,410,31,8
2020-04-10,30-39,men,4209,1179,102,15
2020-04-10,40-49,men,7340,3019,287,44
2020-04-10,50-59,men,9370,4915,646,145
2020-04-10,60-69,men,9736,6399,1047,445
2020-04-10,70-79,men,10060,7804,1043,1318
2020-04-10,80-89,men,7171,5376,85,1778
2020-04-10,90 y +,men,1871,1142,10,572
2020-04-10,Total,men,52130,30353,3260,4325
2020-04-11,0-9,both,292,86,8,1
2020-04-11,10-19,both,603,119,4,1
2020-04-11,20-29,both,5545,828,53,11
2020-04-11,30-39,both,10603,2214,165,24
2020-04-11,40-49,both,16591,5036,404,74
2020-04-11,50-59,both,20523,8212,903,212
2020-04-11,60-69,both,18261,10637,1485,637
2020-04-11,70-79,both,17474,12892,1483,1896
2020-04-11,80-89,both,14966,9973,153,3086
2020-04-11,90 y +,both,5455,2750,17,1318
2020-04-11,Total,both,110313,52747,4675,7260
2020-04-11,0-9,women,144,37,2,1
2020-04-11,10-19,women,312,64,1,1
2020-04-11,20-29,women,3575,415,22,3
2020-04-11,30-39,women,6361,1027,60,9
2020-04-11,40-49,women,9185,2000,115,26
2020-04-11,50-59,women,11070,3235,246,62
2020-04-11,60-69,women,8426,4169,422,184
2020-04-11,70-79,women,7309,5064,427,551
2020-04-11,80-89,women,7707,4541,67,1278
2020-04-11,90 y +,women,3558,1588,7,734
2020-04-11,Total,women,57647,22140,1369,2849
2020-04-11,0-9,men,148,49,6,0
2020-04-11,10-19,men,291,55,3,0
2020-04-11,20-29,men,1964,408,31,8
2020-04-11,30-39,men,4241,1186,105,15
2020-04-11,40-49,men,7404,3036,289,48
2020-04-11,50-59,men,9448,4975,657,150
2020-04-11,60-69,men,9831,6466,1063,453
2020-04-11,70-79,men,10163,7826,1055,1345
2020-04-11,80-89,men,7258,5431,86,1808
2020-04-11,90 y +,men,1897,1162,10,584
2020-04-11,Total,men,52645,30594,3305,4411
2020-04-12,0-9,both,396,154,20,1
2020-04-12,10-19,both,647,129,5,1
2020-04-12,20-29,both,6137,914,53,17
2020-04-12,30-39,both,11484,2409,170,35
2020-04-12,40-49,both,17962,5500,424,109
2020-04-12,50-59,both,22336,8933,938,281
2020-04-12,60-69,both,19747,11469,1563,873
2020-04-12,70-79,both,18716,13726,1519,2607
2020-04-12,80-89,both,16468,10762,160,3969
2020-04-12,90 y +,both,6101,2976,16,1589
2020-04-12,Total,both,119994,56972,4868,9482
2020-04-12,0-9,women,184,64,6,1
2020-04-12,10-19,women,341,71,2,1
2020-04-12,20-29,women,4000,462,22,5
2020-04-12,30-39,women,6948,1132,61,15
2020-04-12,40-49,women,9989,2197,118,39
2020-04-12,50-59,women,12095,3549,260,89
2020-04-12,60-69,women,9134,4511,432,259
2020-04-12,70-79,women,7884,5410,440,770
2020-04-12,80-89,women,8537,4952,73,1624
2020-04-12,90 y +,women,3989,1696,7,880
2020-04-12,Total,women,63101,24044,1421,3683
2020-04-12,0-9,men,212,90,14,0
2020-04-12,10-19,men,306,58,3,0
2020-04-12,20-29,men,2131,447,31,12
2020-04-12,30-39,men,4535,1276,109,20
2020-04-12,40-49,men,7971,3303,306,70
2020-04-12,50-59,men,10237,5382,677,192
2020-04-12,60-69,men,10610,6956,1131,614
2020-04-12,70-79,men,10829,8313,1077,1837
2020-04-12,80-89,men,7930,5809,87,2345
2020-04-12,90 y +,men,2112,1280,9,709
2020-04-12,Total,men,56873,32914,3444,5799
2020-04-13,0-9,both,396,154,20,1
2020-04-13,10-19,both,647,129,5,1
2020-04-13,20-29,both,6137,914,53,17
2020-04-13,30-39,both,11484,2409,170,35
2020-04-13,40-49,both,17962,5500,424,109
2020-04-13,50-59,both,22336,8933,938,281
2020-04-13,60-69,both,19747,11469,1563,873
2020-04-13,70-79,both,18716,13726,1519,2607
2020-04-13,80-89,both,16468,10762,160,3969
2020-04-13,90 y +,both,6101,2976,16,1589
2020-04-13,Total,both,119994,56972,4868,9482
2020-04-13,0-9,women,184,64,6,1
2020-04-13,10-19,women,341,71,2,1
2020-04-13,20-29,women,4000,462,22,5
2020-04-13,30-39,women,6948,1132,61,15
2020-04-13,40-49,women,9989,2197,118,39
2020-04-13,50-59,women,12095,3549,260,89
2020-04-13,60-69,women,9134,4511,432,259
2020-04-13,70-79,women,7884,5410,440,770
2020-04-13,80-89,women,8537,4952,73,1624
2020-04-13,90 y +,women,3989,1696,7,880
2020-04-13,Total,women,63101,24044,1421,3683
2020-04-13,0-9,men,212,90,14,0
2020-04-13,10-19,men,306,58,3,0
2020-04-13,20-29,men,2131,447,31,12
2020-04-13,30-39,men,4535,1276,109,20
2020-04-13,40-49,men,7971,3303,306,70
2020-04-13,50-59,men,10237,5382,677,192
2020-04-13,60-69,men,10610,6956,1131,614
2020-04-13,70-79,men,10829,8313,1077,1837
2020-04-13,80-89,men,7930,5809,87,2345
2020-04-13,90 y +,men,2112,1280,9,709
2020-04-13,Total,men,56873,32914,3444,5799
2020-04-14,0-9,both,395,151,20,1
2020-04-14,10-19,both,650,128,5,1
2020-04-14,20-29,both,6148,915,53,17
2020-04-14,30-39,both,11524,2418,171,35
2020-04-14,40-49,both,18002,5510,427,109
2020-04-14,50-59,both,22390,8946,941,284
2020-04-14,60-69,both,19796,11492,1560,880
2020-04-14,70-79,both,18764,13763,1502,2625
2020-04-14,80-89,both,16556,10817,160,3999
2020-04-14,90 y +,both,6152,2993,16,1614
2020-04-14,Total,both,120377,57133,4855,9565
2020-04-14,0-9,women,184,63,1,1
2020-04-14,10-19,women,344,71,2,1
2020-04-14,20-29,women,4004,463,19,5
2020-04-14,30-39,women,6981,1139,48,15
2020-04-14,40-49,women,10011,2199,97,39
2020-04-14,50-59,women,12123,3557,222,89
2020-04-14,60-69,women,9154,4517,393,262
2020-04-14,70-79,women,7912,5427,664,775
2020-04-14,80-89,women,8596,4978,645,1643
2020-04-14,90 y +,women,4020,1708,255,897
2020-04-14,Total,women,63329,24122,2346,3727
2020-04-14,0-9,men,211,88,14,0
2020-04-14,10-19,men,306,57,3,0
2020-04-14,20-29,men,2138,447,31,12
2020-04-14,30-39,men,4542,1278,108,20
2020-04-14,40-49,men,7989,3311,309,70
2020-04-14,50-59,men,10264,5387,681,195
2020-04-14,60-69,men,10639,6973,1129,618
2020-04-14,70-79,men,10849,8333,1067,1850
2020-04-14,80-89,men,7959,5838,86,2356
2020-04-14,90 y +,men,2132,1285,9,716
2020-04-14,Total,men,57029,32997,3437,5837
2020-04-15,0-9,both,382,137,20,1
2020-04-15,10-19,both,682,132,6,1
2020-04-15,20-29,both,6294,917,53,17
2020-04-15,30-39,both,11752,2416,169,35
2020-04-15,40-49,both,18388,5514,431,109
2020-04-15,50-59,both,22844,8965,940,284
2020-04-15,60-69,both,20137,11508,1561,887
2020-04-15,70-79,both,19042,13765,1500,2633
2020-04-15,80-89,both,16962,10824,162,4016
2020-04-15,90 y +,both,6335,2928,16,1622
2020-04-15,Total,both,122818,57106,4858,9605
2020-04-15,0-9,women,177,57,1,1
2020-04-15,10-19,women,361,73,2,1
2020-04-15,20-29,women,4094,463,18,5
2020-04-15,30-39,women,7125,1136,47,15
2020-04-15,40-49,women,10236,2202,104,39
2020-04-15,50-59,women,12409,3562,223,89
2020-04-15,60-69,women,9332,4515,395,264
2020-04-15,70-79,women,8069,5434,667,778
2020-04-15,80-89,women,8830,4938,647,1653
2020-04-15,90 y +,women,4144,1646,255,901
2020-04-15,Total,women,64777,24026,2359,3746
2020-04-15,0-9,men,205,80,14,0
2020-04-15,10-19,men,321,59,4,0
2020-04-15,20-29,men,2192,448,32,12
2020-04-15,30-39,men,4626,1279,107,21
2020-04-15,40-49,men,8149,3312,309,74
2020-04-15,50-59,men,10432,5401,682,195
2020-04-15,60-69,men,10802,6991,1132,644
2020-04-15,70-79,men,10970,8328,1070,1842
2020-04-15,80-89,men,8132,5886,87,2291
2020-04-15,90 y +,men,2191,1282,9,695
2020-04-15,Total,men,58020,33066,3446,5774
2020-04-16,0-9,both,423,151,19,1
2020-04-16,10-19,both,734,143,7,2
2020-04-16,20-29,both,6763,958,54,19
2020-04-16,30-39,both,12466,2490,176,37
2020-04-16,40-49,both,19536,5737,452,116
2020-04-16,50-59,both,24471,9408,990,312
2020-04-16,60-69,both,21249,12033,1644,958
2020-04-16,70-79,both,20287,14406,1546,2868
2020-04-16,80-89,both,19317,11684,169,4528
2020-04-16,90 y +,both,7836,3282,17,1952
2020-04-16,Total,both,133082,60292,5074,10793
2020-04-16,0-9,women,199,63,1,1
2020-04-16,10-19,women,392,77,2,1
2020-04-16,20-29,women,4428,488,19,5
2020-04-16,30-39,women,7623,1172,48,16
2020-04-16,40-49,women,10990,2296,115,42
2020-04-16,50-59,women,13434,3760,240,102
2020-04-16,60-69,women,9858,4688,410,282
2020-04-16,70-79,women,8664,5682,681,850
2020-04-16,80-89,women,10328,5380,648,1902
2020-04-16,90 y +,women,5264,1872,256,1115
2020-04-16,Total,women,71180,25478,2420,4316
2020-04-16,0-9,men,224,88,13,0
2020-04-16,10-19,men,342,66,5,1
2020-04-16,20-29,men,2331,467,32,14
2020-04-16,30-39,men,4843,1318,113,22
2020-04-16,40-49,men,8543,3441,319,78
2020-04-16,50-59,men,11034,5646,715,210
2020-04-16,60-69,men,11390,7344,1200,697
2020-04-16,70-79,men,11620,8721,1102,2005
2020-04-16,80-89,men,8989,6304,93,2554
2020-04-16,90 y +,men,2572,1410,9,811
2020-04-16,Total,men,61888,34805,3601,6392
2020-04-17,0-9,both,433,159,19,1
2020-04-17,10-19,both,738,150,8,2
2020-04-17,20-29,both,6864,972,54,20
2020-04-17,30-39,both,12671,2532,178,37
2020-04-17,40-49,both,19877,5822,459,118
2020-04-17,50-59,both,24875,9540,1004,319
2020-04-17,60-69,both,21601,12214,1673,972
2020-04-17,70-79,both,20669,14629,1567,2926
2020-04-17,80-89,both,19931,11954,173,4659
2020-04-17,90 y +,both,8130,3405,17,2012
2020-04-17,Total,both,135789,61377,5152,11066
2020-04-17,0-9,women,199,66,1,1
2020-04-17,10-19,women,395,80,3,1
2020-04-17,20-29,women,4501,490,19,5
2020-04-17,30-39,women,7764,1195,49,15
2020-04-17,40-49,women,11221,2341,117,42
2020-04-17,50-59,women,13684,3810,243,103
2020-04-17,60-69,women,10037,4767,421,285
2020-04-17,70-79,women,8847,5781,695,864
2020-04-17,80-89,women,10685,5507,650,1961
2020-04-17,90 y +,women,5467,1944,256,1149
2020-04-17,Total,women,72800,25981,2454,4426
2020-04-17,0-9,men,236,93,13,0
2020-04-17,10-19,men,345,70,5,1
2020-04-17,20-29,men,2360,479,32,15
2020-04-17,30-39,men,4903,1337,114,22
2020-04-17,40-49,men,8660,3481,324,76
2020-04-17,50-59,men,11198,5728,726,216
2020-04-17,60-69,men,11562,7447,1218,687
2020-04-17,70-79,men,11810,8845,1109,2062
2020-04-17,80-89,men,9241,6447,95,2698
2020-04-17,90 y +,men,2667,1461,9,862
2020-04-17,Total,men,62982,35388,3645,6639
2020-04-18,0-9,both,448,165,19,1
2020-04-18,10-19,both,757,159,8,2
2020-04-18,20-29,both,6926,990,54,20
2020-04-18,30-39,both,12788,2588,183,37
2020-04-18,40-49,both,20037,5965,478,121
2020-04-18,50-59,both,25072,9730,1034,322
2020-04-18,60-69,both,21724,12484,1729,987
2020-04-18,70-79,both,20801,14987,1636,2955
2020-04-18,80-89,both,20137,12207,177,4726
2020-04-18,90 y +,both,8268,3490,18,2049
2020-04-18,Total,both,136958,62765,5336,11220
2020-04-18,0-9,women,200,68,1,1
2020-04-18,10-19,women,404,84,3,1
2020-04-18,20-29,women,4535,501,19,5
2020-04-18,30-39,women,7840,1230,52,15
2020-04-18,40-49,women,11315,2421,122,42
2020-04-18,50-59,women,13791,3898,253,103
2020-04-18,60-69,women,10096,4888,436,288
2020-04-18,70-79,women,8914,5920,715,871
2020-04-18,80-89,women,10807,5619,648,1984
2020-04-18,90 y +,women,5575,1994,256,1172
2020-04-18,Total,women,73477,26623,2505,4482
2020-04-18,0-9,men,250,97,13,0
2020-04-18,10-19,men,355,75,5,1
2020-04-18,20-29,men,2388,487,32,15
2020-04-18,30-39,men,4944,1358,116,22
2020-04-18,40-49,men,8726,3544,335,79
2020-04-18,50-59,men,11288,5831,743,219
2020-04-18,60-69,men,11626,7596,1255,699
2020-04-18,70-79,men,11875,9065,1150,2084
2020-04-18,80-89,men,9325,6588,100,2742
2020-04-18,90 y +,men,2696,1496,10,876
2020-04-18,Total,men,63473,36137,3759,6737
2020-04-19,0-9,both,451,167,21,2
2020-04-19,10-19,both,768,162,10,3
2020-04-19,20-29,both,6996,1007,59,22
2020-04-19,30-39,both,12904,2634,192,46
2020-04-19,40-49,both,20201,6097,530,134
2020-04-19,50-59,both,25239,9913,1085,356
2020-04-19,60-69,both,21848,12655,1814,1067
2020-04-19,70-79,both,20909,15184,1704,3098
2020-04-19,80-89,both,20277,12386,203,4883
2020-04-19,90 y +,both,8343,3539,24,2095
2020-04-19,Total,both,137936,63744,5642,11706
2020-04-19,0-9,women,202,69,7,1
2020-04-19,10-19,women,411,86,4,2
2020-04-19,20-29,women,4588,512,25,7
2020-04-19,30-39,women,7913,1246,70,23
2020-04-19,40-49,women,11416,2477,161,48
2020-04-19,50-59,women,13894,3973,304,110
2020-04-19,60-69,women,10160,4950,507,315
2020-04-19,70-79,women,8954,5996,506,922
2020-04-19,80-89,women,10885,5709,90,2045
2020-04-19,90 y +,women,5631,2033,12,1197
2020-04-19,Total,women,74054,27051,1686,4670
2020-04-19,0-9,men,251,98,14,1
2020-04-19,10-19,men,359,76,6,1
2020-04-19,20-29,men,2405,493,34,15
2020-04-19,30-39,men,4987,1388,122,23
2020-04-19,40-49,men,8790,3620,369,86
2020-04-19,50-59,men,11352,5939,781,246
2020-04-19,60-69,men,11687,7705,1307,752
2020-04-19,70-79,men,11944,9187,1197,2175
2020-04-19,80-89,men,9387,6677,113,2838
2020-04-19,90 y +,men,2716,1506,12,898
2020-04-19,Total,men,63878,36689,3955,7035
2020-04-20,0-9,both,400,182,25,3
2020-04-20,10-19,both,817,100,13,3
2020-04-20,20-29,both,7497,1078,68,30
2020-04-20,30-39,both,13638,2791,198,57
2020-04-20,40-49,both,21320,6458,553,144
2020-04-20,50-59,both,26550,10568,1124,383
2020-04-20,60-69,both,22792,13273,1864,1098
2020-04-20,70-79,both,21773,15837,1738,3207
2020-04-20,80-89,both,21498,13205,214,5156
2020-04-20,90 y +,both,8993,3879,27,2213
2020-04-20,Total,both,145558,67451,5824,12294
2020-04-20,0-9,women,215,76,9,1
2020-04-20,10-19,women,438,91,5,2
2020-04-20,20-29,women,4924,555,0,12
2020-04-20,30-39,women,8393,1322,72,28
2020-04-20,40-49,women,12135,2641,172,54
2020-04-20,50-59,women,14682,4265,313,120
2020-04-20,60-69,women,10649,5210,522,328
2020-04-20,70-79,women,9360,6282,515,966
2020-04-20,80-89,women,11590,6146,93,2171
2020-04-20,90 y +,women,6087,2256,13,1269
2020-04-20,Total,women,78473,28844,1744,4951
2020-04-20,0-9,men,267,106,16,2
2020-04-20,10-19,men,381,89,8,1
2020-04-20,20-29,men,2570,521,38,18
2020-04-20,30-39,men,5241,1469,126,29
2020-04-20,40-49,men,9190,3817,381,90
2020-04-20,50-59,men,11875,6002,811,263
2020-04-20,60-69,men,12142,8063,1342,770
2020-04-20,70-79,men,12402,9554,1222,2240
2020-04-20,80-89,men,9903,7059,121,2935
2020-04-20,90 y +,men,2910,1623,14,944
2020-04-20,Total,men,66881,38603,4079,7342
2020-04-21,0-9,both,484,186,25,3
2020-04-21,10-19,both,821,182,13,3
2020-04-21,20-29,both,7525,1084,68,30
2020-04-21,30-39,both,13687,2795,198,57
2020-04-21,40-49,both,21370,6467,553,144
2020-04-21,50-59,both,26613,10588,1126,386
2020-04-21,60-69,both,22837,13289,1869,1103
2020-04-21,70-79,both,21827,15865,1741,3223
2020-04-21,80-89,both,21579,13239,214,5185
2020-04-21,90 y +,both,9040,3900,27,2231
2020-04-21,Total,both,145783,67595,5834,12365
2020-04-21,0-9,women,216,76,9,1
2020-04-21,10-19,women,440,92,5,2
2020-04-21,20-29,women,4944,557,30,12
2020-04-21,30-39,women,8427,1324,72,28
2020-04-21,40-49,women,12168,2648,172,54
2020-04-21,50-59,women,14716,4271,314,122
2020-04-21,60-69,women,10675,5217,523,329
2020-04-21,70-79,women,9388,6295,515,968
2020-04-21,80-89,women,11648,6167,93,2187
2020-04-21,90 y +,women,6125,2271,13,1285
2020-04-21,Total,women,78747,28918,1746,4988
2020-04-21,0-9,men,270,110,16,2
2020-04-21,10-19,men,383,90,8,1
2020-04-21,20-29,men,2577,524,38,18
2020-04-21,30-39,men,5256,1471,126,29
2020-04-21,40-49,men,9207,3819,381,90
2020-04-21,50-59,men,11904,6316,812,264
2020-04-21,60-69,men,12161,8072,1346,774
2020-04-21,70-79,men,12428,9569,1225,2254
2020-04-21,80-89,men,9926,7072,121,2998
2020-04-21,90 y +,men,2919,1629,14,946
2020-04-21,Total,men,67031,38672,4087,7376
2020-04-22,0-9,both,492,189,25,2
2020-04-22,10-19,both,839,184,13,3
2020-04-22,20-29,both,7625,1087,68,24
2020-04-22,30-39,both,13857,2814,199,48
2020-04-22,40-49,both,21658,6497,555,138
2020-04-22,50-59,both,26971,10652,1133,388
2020-04-22,60-69,both,23105,13353,1874,1119
2020-04-22,70-79,both,22101,15984,1748,3278
2020-04-22,80-89,both,22067,13390,215,5306
2020-04-22,90 y +,both,9398,3971,27,2328
2020-04-22,Total,both,148113,68121,5877,12634
2020-04-22,0-9,women,220,78,9,1
2020-04-22,10-19,women,450,94,5,2
2020-04-22,20-29,women,5009,560,30,9
2020-04-22,30-39,women,8544,1336,72,23
2020-04-22,40-49,women,12358,2666,172,49
2020-04-22,50-59,women,14959,4306,316,120
2020-04-22,60-69,women,10813,5235,524,331
2020-04-22,70-79,women,9525,6347,518,987
2020-04-22,80-89,women,11970,6248,93,2249
2020-04-22,90 y +,women,6405,2321,13,1356
2020-04-22,Total,women,80253,29191,1752,5127
2020-04-22,0-9,men,274,111,16,1
2020-04-22,10-19,men,390,90,8,1
2020-04-22,20-29,men,2612,524,38,15
2020-04-22,30-39,men,5309,1478,127,25
2020-04-22,40-49,men,9305,3831,383,89
2020-04-22,50-59,men,12018,6345,817,268
2020-04-22,60-69,men,12291,8118,1350,788
2020-04-22,70-79,men,12566,9637,1230,2291
2020-04-22,80-89,men,10092,7142,122,3057
2020-04-22,90 y +,men,2997,1650,14,972
2020-04-22,Total,men,67354,38926,4105,7507
2020-04-23,0-9,both,502,191,26,2
2020-04-23,10-19,both,869,189,13,3
2020-04-23,20-29,both,7962,1110,68,25
2020-04-23,30-39,both,14304,2845,207,50
2020-04-23,40-49,both,22430,6570,560,138
2020-04-23,50-59,both,27795,10761,1161,400
2020-04-23,60-69,both,23595,13433,1894,1149
2020-04-23,70-79,both,22470,16021,1781,3374
2020-04-23,80-89,both,22832,13635,218,5491
2020-04-23,90 y +,both,9828,4085,28,2446
2020-04-23,Total,both,152587,68840,5956,13078
2020-04-23,0-9,women,225,78,9,1
2020-04-23,10-19,women,465,95,5,2
2020-04-23,20-29,women,5276,577,31,10
2020-04-23,30-39,women,8852,1361,79,24
2020-04-23,40-49,women,12892,2711,178,49
2020-04-23,50-59,women,15504,4346,320,121
2020-04-23,60-69,women,11097,5274,535,339
2020-04-23,70-79,women,9733,6373,527,1027
2020-04-23,80-89,women,12534,6388,93,2343
2020-04-23,90 y +,women,6751,2400,13,1442
2020-04-23,Total,women,83329,29603,1790,5358
2020-04-23,0-9,men,277,113,17,1
2020-04-23,10-19,men,404,94,8,1
2020-04-23,20-29,men,2684,531,37,15
2020-04-23,30-39,men,5452,1484,128,26
2020-04-23,40-49,men,9537,3859,382,89
2020-04-23,50-59,men,12289,6415,841,279
2020-04-23,60-69,men,12498,8159,1359,810
2020-04-23,70-79,men,12737,9648,1254,2347
2020-04-23,80-89,men,10298,7247,125,3148
2020-04-23,90 y +,men,3077,1685,15,1004
2020-04-23,Total,men,69253,39235,4166,7720
2020-04-24,0-9,both,506,192,26,2
2020-04-24,10-19,both,871,189,13,3
2020-04-24,20-29,both,7981,1110,68,25
2020-04-24,30-39,both,14338,2850,209,50
2020-04-24,40-49,both,22476,6580,560,138
2020-04-24,50-59,both,27858,10776,1161,401
2020-04-24,60-69,both,23641,13448,1896,1152
2020-04-24,70-79,both,22490,16032,1781,3375
2020-04-24,80-89,both,22874,13654,217,5502
2020-04-24,90 y +,both,9848,4095,28,2457
2020-04-24,Total,both,152883,68926,5959,13105
2020-04-24,0-9,women,228,78,9,1
2020-04-24,10-19,women,466,95,5,2
2020-04-24,20-29,women,5286,577,31,10
2020-04-24,30-39,women,8876,1364,80,24
2020-04-24,40-49,women,12924,2716,178,49
2020-04-24,50-59,women,15550,4349,320,121
2020-04-24,60-69,women,11118,5273,535,340
2020-04-24,70-79,women,9742,6377,527,1028
2020-04-24,80-89,women,12565,6404,93,2351
2020-04-24,90 y +,women,6767,2406,13,1448
2020-04-24,Total,women,83522,29639,1791,5374
2020-04-24,0-9,men,278,114,17,1
2020-04-24,10-19,men,405,94,8,1
2020-04-24,20-29,men,2693,531,37,15
2020-04-24,30-39,men,5462,1486,129,26
2020-04-24,40-49,men,9551,3864,382,89
2020-04-24,50-59,men,12306,6427,841,280
2020-04-24,60-69,men,12521,8174,1360,812
2020-04-24,70-79,men,12748,9655,1254,2347
2020-04-24,80-89,men,10309,7250,125,3151
2020-04-24,90 y +,men,3081,1689,15,1009
2020-04-24,Total,men,69354,39284,4168,7731
2020-04-25,0-9,both,624,213,28,2
2020-04-25,10-19,both,1131,215,17,4
2020-04-25,20-29,both,10522,1243,78,28
2020-04-25,30-39,both,17936,3203,242,54
2020-04-25,40-49,both,28127,7560,661,155
2020-04-25,50-59,both,34494,12270,1353,455
2020-04-25,60-69,both,29156,15305,2189,1285
2020-04-25,70-79,both,28447,18409,2000,3751
2020-04-25,80-89,both,30236,15427,263,6144
2020-04-25,90 y +,both,13660,4585,32,2751
2020-04-25,Total,both,194333,78430,6863,14629
2020-04-25,0-9,women,299,92,12,1
2020-04-25,10-19,women,645,111,8,3
2020-04-25,20-29,women,7086,651,36,11
2020-04-25,30-39,women,11271,1517,92,25
2020-04-25,40-49,women,16384,3121,211,57
2020-04-25,50-59,women,19352,4932,382,137
2020-04-25,60-69,women,13817,6032,619,382
2020-04-25,70-79,women,12560,7344,593,1167
2020-04-25,80-89,women,17056,7175,112,2640
2020-04-25,90 y +,women,9717,2730,17,1638
2020-04-25,Total,women,108187,33705,2082,6061
2020-04-25,0-9,men,330,121,17,1
2020-04-25,10-19,men,499,104,9,1
2020-04-25,20-29,men,3484,592,42,17
2020-04-25,30-39,men,6758,1686,150,29
2020-04-25,40-49,men,11895,4439,451,98
2020-04-25,50-59,men,15312,7337,971,318
2020-04-25,60-69,men,15473,9272,1569,903
2020-04-25,70-79,men,16044,11065,1407,2584
2020-04-25,80-89,men,13274,8251,153,3504
2020-04-25,90 y +,men,3973,1855,15,1113
2020-04-25,Total,men,87042,44722,4784,8568
2020-04-26,0-9,both,634,213,28,2
2020-04-26,10-19,both,1129,216,17,4
2020-04-26,20-29,both,10556,1239,78,28
2020-04-26,30-39,both,17976,3214,240,54
2020-04-26,40-49,both,28198,7600,661,155
2020-04-26,50-59,both,34610,12338,1350,455
2020-04-26,60-69,both,29230,15427,2201,1288
2020-04-26,70-79,both,28499,18577,2004,3763
2020-04-26,80-89,both,30335,15488,269,6151
2020-04-26,90 y +,both,13699,4593,31,2767
2020-04-26,Total,both,194866,78905,6879,14667
2020-04-26,0-9,women,302,93,12,1
2020-04-26,10-19,women,643,110,8,3
2020-04-26,20-29,women,7101,646,36,11
2020-04-26,30-39,women,11297,1518,89,25
2020-04-26,40-49,women,16440,3126,208,57
2020-04-26,50-59,women,19445,4961,384,137
2020-04-26,60-69,women,13852,6070,612,382
2020-04-26,70-79,women,12583,7406,598,1169
2020-04-26,80-89,women,17116,7193,118,2641
2020-04-26,90 y +,women,9751,2735,17,1650
2020-04-26,Total,women,108530,33858,2082,6076
2020-04-26,0-9,men,337,120,17,1
2020-04-26,10-19,men,499,106,9,1
2020-04-26,20-29,men,3503,593,42,17
2020-04-26,30-39,men,6772,1696,151,29
2020-04-26,40-49,men,11910,4474,454,98
2020-04-26,50-59,men,15334,7375,966,318
2020-04-26,60-69,men,15509,9354,1588,906
2020-04-26,70-79,men,16072,11170,1406,2594
2020-04-26,80-89,men,13312,8293,153,3510
2020-04-26,90 y +,men,3978,1858,14,1117
2020-04-26,Total,men,87226,45039,4800,8591
2020-04-27,0-9,both,657,227,31,2
2020-04-27,10-19,both,1201,234,17,4
2020-04-27,20-29,both,11087,1317,83,22
2020-04-27,30-39,both,18866,3420,249,54
2020-04-27,40-49,both,29547,8039,693,170
2020-04-27,50-59,both,36353,13035,1434,495
2020-04-27,60-69,both,30314,16226,2316,1380
2020-04-27,70-79,both,29517,19431,2066,4003
2020-04-27,80-89,both,32109,16568,291,6584
2020-04-27,90 y +,both,14726,5093,38,3050
2020-04-27,Total,both,204377,83590,7218,15764
2020-04-27,0-9,women,308,98,11,1
2020-04-27,10-19,women,677,121,8,3
2020-04-27,20-29,women,7452,692,38,8
2020-04-27,30-39,women,11890,1633,93,21
2020-04-27,40-49,women,17329,3320,214,60
2020-04-27,50-59,women,20542,5279,414,146
2020-04-27,60-69,women,14409,6386,647,407
2020-04-27,70-79,women,13109,7774,625,1257
2020-04-27,80-89,women,18285,7771,130,2832
2020-04-27,90 y +,women,10491,3047,22,1808
2020-04-27,Total,women,114492,36121,2202,6543
2020-04-27,0-9,men,354,129,21,1
2020-04-27,10-19,men,537,113,9,1
2020-04-27,20-29,men,3683,625,45,14
2020-04-27,30-39,men,7069,1787,156,33
2020-04-27,40-49,men,12370,4719,480,110
2020-04-27,50-59,men,15979,7754,1020,349
2020-04-27,60-69,men,16036,9837,1668,973
2020-04-27,70-79,men,16564,11656,1441,2746
2020-04-27,80-89,men,13917,8795,163,3752
2020-04-27,90 y +,men,4265,2046,16,1242
2020-04-27,Total,men,90774,47461,5019,9221
2020-04-28,0-9,both,660,229,31,2
2020-04-28,10-19,both,1206,235,17,4
2020-04-28,20-29,both,11138,1324,83,22
2020-04-28,30-39,both,18924,3429,250,55
2020-04-28,40-49,both,29629,8048,694,172
2020-04-28,50-59,both,36423,13049,1435,497
2020-04-28,60-69,both,30361,16241,2320,1387
2020-04-28,70-79,both,29550,19451,2069,4012
2020-04-28,80-89,both,32198,16602,292,6621
2020-04-28,90 y +,both,14777,5112,38,3081
2020-04-28,Total,both,204866,83720,7229,15853
2020-04-28,0-9,women,304,99,11,1
2020-04-28,10-19,women,668,121,8,3
2020-04-28,20-29,women,7437,696,38,8
2020-04-28,30-39,women,11841,1638,94,22
2020-04-28,40-49,women,17230,3324,215,62
2020-04-28,50-59,women,20412,5282,416,146
2020-04-28,60-69,women,14303,6392,646,409
2020-04-28,70-79,women,12974,7781,625,1259
2020-04-28,80-89,women,18264,7794,130,2852
2020-04-28,90 y +,women,10499,3060,22,1830
2020-04-28,Total,women,113932,36187,2205,6592
2020-04-28,0-9,men,356,130,21,1
2020-04-28,10-19,men,538,114,9,1
2020-04-28,20-29,men,3701,628,45,14
2020-04-28,30-39,men,7083,1791,156,33
2020-04-28,40-49,men,12398,4724,480,110
2020-04-28,50-59,men,16009,7765,1020,351
2020-04-28,60-69,men,16054,9846,1673,978
2020-04-28,70-79,men,16575,11669,1444,2753
2020-04-28,80-89,men,13932,8806,163,3769
